,Class Name,handicapped-infants,water-project-cost-sharing,adoption-of-the-budget-resolution,physician-fee-freeze,el-salvador-aid,religious-groups-in-schools,anti-satellite-test-ban,aid-to-nicaraguan-contras,mx-missile,immigration,synfuels-corporation-cutback,education-spending,superfund-right-to-sue,crime,duty-free-exports,export-administration-act-south-africa
0,republican,n,y,n,y,y,y,n,n,n,y,?,y,y,y,n,y
1,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,?
2,democrat,?,y,y,?,y,y,n,n,n,n,y,n,y,y,n,n
3,democrat,n,y,y,n,?,y,n,n,n,n,y,n,y,n,n,y
4,democrat,y,y,y,n,y,y,n,n,n,n,y,?,y,y,y,y
5,democrat,n,y,y,n,y,y,n,n,n,n,n,n,y,y,y,y
6,democrat,n,y,n,y,y,y,n,n,n,n,n,n,?,y,y,y
7,republican,n,y,n,y,y,y,n,n,n,n,n,n,y,y,?,y
8,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
9,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,?,?
10,republican,n,y,n,y,y,n,n,n,n,n,?,?,y,y,n,n
11,republican,n,y,n,y,y,y,n,n,n,n,y,?,y,y,?,?
12,democrat,n,y,y,n,n,n,y,y,y,n,n,n,y,n,?,?
13,democrat,y,y,y,n,n,y,y,y,?,y,y,?,n,n,y,?
14,republican,n,y,n,y,y,y,n,n,n,n,n,y,?,?,n,?
15,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,?,n,?
16,democrat,y,n,y,n,n,y,n,y,?,y,y,y,?,n,n,y
17,democrat,y,?,y,n,n,n,y,y,y,n,n,n,y,n,y,y
18,republican,n,y,n,y,y,y,n,n,n,n,n,?,y,y,n,n
19,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
20,democrat,y,y,y,n,n,?,y,y,n,n,y,n,n,n,y,y
21,democrat,y,y,y,n,n,n,y,y,y,n,n,n,?,?,y,y
22,democrat,y,?,y,n,n,n,y,y,y,n,n,?,n,n,y,y
23,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
24,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,?
25,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
26,democrat,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y
27,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
28,republican,y,n,n,y,y,n,y,y,y,n,n,y,y,y,n,y
29,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
30,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
31,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,?
32,democrat,y,y,y,n,n,n,y,y,y,y,n,n,y,n,y,y
33,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
34,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
35,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
36,republican,y,?,n,y,y,y,n,n,n,y,n,y,?,y,n,y
37,republican,y,y,n,y,y,y,n,n,n,n,n,n,y,y,n,y
38,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
39,democrat,y,n,y,n,n,n,y,y,y,y,y,n,y,n,y,y
40,democrat,y,y,y,n,n,n,y,y,y,n,?,n,n,n,n,?
41,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,?
42,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,n,y
43,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
44,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,?
45,democrat,y,y,y,n,n,n,y,y,?,n,y,n,n,n,y,?
46,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y
47,democrat,y,n,y,n,n,n,y,y,?,n,n,n,n,n,n,?
48,democrat,y,y,y,n,n,n,y,y,n,n,n,n,n,y,n,y
49,republican,n,?,n,y,y,y,n,n,n,n,n,y,y,y,n,n
50,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
51,republican,n,y,n,y,y,y,n,?,n,n,n,y,y,y,n,y
52,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,?,?
53,republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
54,democrat,y,y,y,n,n,y,?,y,n,n,y,y,n,y,n,?
55,republican,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,n
56,republican,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,y
57,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
58,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
59,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,?
60,democrat,y,y,y,n,n,?,y,y,y,y,n,n,n,n,y,?
61,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
62,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,?
63,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,n,y
64,democrat,y,y,y,n,n,n,y,y,y,n,y,?,n,n,n,y
65,republican,y,y,n,y,y,y,y,n,n,n,n,y,y,y,n,y
66,republican,n,y,n,y,y,y,y,n,n,n,y,y,y,y,n,y
67,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
68,democrat,y,?,y,n,n,n,y,y,y,n,n,n,y,n,y,y
69,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
70,democrat,y,n,y,n,n,n,y,y,y,n,n,n,y,n,y,?
71,republican,y,y,y,y,n,n,y,y,y,y,y,n,n,y,n,y
72,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,?
73,republican,y,n,y,y,y,n,y,n,y,y,n,n,y,y,n,y
74,democrat,y,n,y,n,n,y,y,y,y,y,y,n,n,y,y,y
75,democrat,n,y,y,y,y,y,n,n,n,y,y,n,y,y,n,n
76,democrat,n,y,y,n,y,y,n,n,n,y,y,y,y,y,n,?
77,democrat,n,y,y,y,y,y,n,y,y,y,y,y,y,y,n,y
